Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,0.1741,-0.1787,1.0242,0.3053,2.5496,5.4198
10,0.1616,-0.2205,1.0247,-3.1908,-3.2519,4.0763
20,0.1707,-0.2468,0.9819,-2.2595,-3.8779,1.5573
30,0.1826,-0.2156,0.9463,-0.1374,-2.0153,-0.7176
40,0.1909,-0.1743,0.9436,2.458,1.7099,-0.1069
50,0.2,-0.1338,0.968,3.0992,3.4656,1.9847
60,0.188,-0.144,0.9961,0.0916,1.9389,4.8855
70,0.1753,-0.1978,1.0032,-3.0076,-1.4198,4.9771
80,0.1755,-0.23,0.9656,-2.5191,-0.3206,3.5267
90,0.1655,-0.2419,0.9678,-0.7634,1.0992,0.6718
100,0.1721,-0.2053,0.9907,-2.7786,-5.3282,-1.2672
110,0.1946,-0.1843,0.9299,-1.1298,-3.313,-1.6794
120,0.2004,-0.1584,0.9087,1.5725,-0.0305,0.2443
130,0.2036,-0.1599,0.926,1.6794,4.0,1.313
140,0.1963,-0.1675,0.9541,3.2977,6.7786,2.9771
150,0.1812,-0.1743,0.999,2.5191,6.2901,3.4504
160,0.1707,-0.2031,1.0237,3.0382,3.771,2.9313
170,0.1628,-0.2119,1.0334,0.0305,-0.7176,1.8321
180,0.1631,-0.2178,1.0012,0.4275,-4.2748,-0.7176
190,0.1843,-0.1709,0.9658,1.2977,-1.6489,-0.4733
200,0.1846,-0.1721,0.9768,-0.6718,-4.3359,1.1756
210,0.196,-0.1675,0.9465,0.1679,-4.0763,0.4275
220,0.21,-0.1299,0.9172,-0.0153,1.542,3.6947
230,0.1943,-0.1714,0.9641,2.1832,2.6412,4.3206
240,0.1814,-0.1851,0.9929,0.855,-0.2443,4.5496
250,0.1919,-0.198,0.9771,-0.5496,-3.6489,3.8015
260,0.1992,-0.1797,0.937,-1.7863,-3.1145,3.4504
270,0.1733,0.2058,0.9707,16.6412,-8.5496,5.6336
280,0.2576,0.4556,1.0017,26.5649,-9.374,31.4656
290,0.3232,0.7078,1.1079,30.5344,-6.8855,66.7328
