Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,0.0491,-0.0223,0.9989,1.2549,1.0148,0.2221
10,0.0404,-0.0141,1.0129,0.3896,0.8272,0.1301
20,0.0077,0.0038,1.0102,2.6726,-0.271,-0.6086
30,0.0129,-0.007,0.9762,-1.9727,-0.7933,-0.9772
40,0.0016,-0.0078,1.0019,0.6951,0.7604,0.8712
50,0.0039,-0.0182,1.0172,-0.2292,-0.1785,0.9472
60,0.0391,-0.011,1.019,-1.0049,-2.5812,-0.1737
70,-0.005,-0.0143,1.0175,-0.9752,-0.3177,1.7308
80,0.0003,0.0011,1.018,1.5307,-1.1589,0.3502
90,0.0379,-0.012,1.0251,0.1319,-0.4965,0.7908
100,0.0253,-0.0065,0.9907,-1.6537,-0.184,0.0116
110,-0.0162,0.0092,1.0243,-0.1495,-1.0452,0.021
120,-0.0168,-0.0075,0.9953,-1.7783,0.21,-0.0198
130,0.0267,-0.0492,1.0025,-0.3305,-0.825,-1.3291
140,0.0468,-0.0081,1.0189,-1.0628,0.4054,0.8478
150,0.0254,-0.0256,1.0147,-0.9962,-1.6334,-1.3156
160,0.0386,-0.013,1.021,0.58,0.9935,-0.4626
170,0.0115,0.0089,1.0145,-0.1492,-2.3342,-0.7307
180,0.0091,0.0035,0.996,0.3562,-2.4637,0.9488
190,-0.0004,0.0251,1.0183,1.7337,1.6714,-1.0282
200,0.0067,0.0041,0.9947,-0.9704,-1.0815,1.6517
210,0.0154,-0.0398,1.0183,-0.2243,-0.1766,-1.0819
220,-0.0101,0.0102,0.9798,0.1616,0.1756,-1.5488
230,0.0134,-0.0088,0.9983,-0.2009,1.9237,-0.0794
240,0.0031,0.0097,1.0098,0.9255,0.636,1.9365
250,0.0159,0.0041,0.9946,-1.5529,0.4077,-1.6052
260,0.0269,-0.0163,1.0099,0.6983,1.0194,-0.5753
270,0.0241,-0.0121,1.0356,-0.7457,0.5152,-1.2813
280,-0.0068,0.0163,0.9934,4.5657,-0.1531,-0.4563
290,0.0023,-0.0236,1.0237,1.8748,-2.8434,-0.6496
300,-0.0058,-0.0061,0.9911,-1.1171,3.827,-0.0217
310,0.0038,-0.0244,0.9993,1.034,-1.1498,-0.7931
320,0.0073,0.0108,0.9961,1.0381,0.5692,-1.0774
330,0.0262,-0.0216,0.9895,-1.5061,-1.4002,1.7135
340,0.0029,0.0033,1.0185,-2.7366,0.4855,2.565
350,0.0084,0.0102,0.9908,-0.0373,-0.9196,-0.4771
360,-0.0276,0.0146,1.0303,1.4602,1.3203,-0.8843
370,0.0285,-0.0063,1.0183,1.0829,-0.372,-0.5957
380,-0.0174,-0.0221,1.0188,-2.2526,-1.1024,1.1587
390,0.0088,0.0158,1.0098,-1.0,0.8514,-1.1281
400,0.0083,-0.0208,1.0221,-1.1418,-1.107,1.3273
410,0.0049,0.0055,0.9893,-1.3133,2.4294,-2.4103
420,0.0228,0.0098,0.9981,-1.3896,2.0456,0.5924
430,0.0023,-0.0119,1.0156,-0.7128,0.1607,-0.7227
440,0.0165,0.0314,1.026,-1.9425,2.5755,-0.8108
450,0.0371,0.0018,1.0066,1.5808,-0.119,0.6512
460,0.018,0.025,1.0089,-0.4611,-1.8149,-0.8435
470,0.0049,-0.0224,1.0023,2.018,0.7766,2.2019
480,-0.0196,-0.0148,1.0016,-0.2605,-1.4137,2.3457
