Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-0.0374,0.0304,0.977,0.1323,-1.0927,-3.2828
10,-0.0044,-0.0053,0.9858,0.3569,1.4455,0.3062
20,0.0016,-0.0243,0.9872,0.6282,-1.5176,-2.0134
30,-0.0168,-0.0042,0.9951,0.2327,-0.3304,-1.7418
40,-0.0119,0.0033,0.9963,0.847,-1.5307,-0.693
50,-0.0375,0.0078,0.9928,0.2109,0.9865,0.5179
60,-0.0308,-0.014,1.0054,1.2205,-1.6241,0.2322
70,0.0082,0.0407,0.9937,-2.054,1.0448,0.2794
80,-0.0072,0.0124,1.0001,-0.0136,0.1062,-0.1092
90,0.0157,0.0153,1.0254,1.2045,0.1321,1.4259
100,0.005,0.0343,1.0009,-0.7204,-3.0115,0.1062
110,-0.0145,-0.0028,0.9845,1.7683,-0.6003,3.3985
120,-0.0017,-0.0053,0.9886,0.2936,1.207,-1.0737
130,-0.025,0.0277,0.9959,-1.3254,0.0681,0.112
140,0.0103,0.0076,1.0002,-0.8192,0.9704,0.2026
150,-0.0048,-0.023,0.9997,-1.868,-1.0415,1.6463
160,0.0091,-0.0117,0.9967,0.6886,3.0946,-0.3279
170,0.0109,0.0169,0.997,-1.8918,-1.1893,-0.8001
180,-0.0284,0.0144,1.0194,-0.554,0.0349,-0.7958
190,-0.013,-0.0051,0.9977,2.5226,0.4526,1.8543
200,-0.0327,-0.0138,1.0034,0.0753,0.1662,0.1977
210,0.0264,0.015,1.0082,-1.5993,0.3426,0.3839
220,0.0012,-0.0228,0.9841,0.2079,-0.6201,-1.8504
230,-0.032,0.0068,0.9997,-0.4732,1.7378,-1.3965
240,-0.0068,0.0227,0.9793,0.5174,-1.3041,0.8978
250,-0.015,-0.0366,0.98,1.8368,-0.2705,1.6889
260,-0.0102,0.0199,1.0164,0.3247,-1.3928,-2.3005
270,-0.0182,0.0414,1.0058,-0.059,0.4457,0.2272
280,-0.0433,0.0005,0.9973,0.4278,-0.9394,0.5271
290,-0.0071,-0.0173,0.988,0.4474,-1.1663,-0.6713
300,-0.0402,-0.0064,0.9922,-0.0142,0.7163,0.665
310,0.0325,-0.0273,1.0127,1.567,0.8553,0.0545
320,-0.0181,0.0129,0.984,2.829,-0.4223,-1.6217
330,0.0164,0.0315,0.9787,1.6238,-0.9959,0.4325
340,-0.0046,0.0145,0.9963,-1.6951,-0.0642,0.6065
350,-0.0018,-0.0181,0.9783,0.2603,0.7131,1.6674
360,-0.0332,0.02,0.9921,0.1312,-0.4328,2.6292
370,-0.0252,0.0001,1.0121,-1.3532,-1.18,-2.4043
380,-0.0172,-0.016,1.0034,-1.5499,0.8843,-1.225
390,-0.0497,0.0047,1.0145,0.9772,1.5324,0.9957
400,-0.0172,0.0116,0.9923,-1.0944,-0.1613,-1.5358
410,-0.0414,0.0167,0.9994,0.3509,0.337,0.7251
420,0.0137,-0.0079,1.0033,0.5572,-1.1249,-0.0081
430,0.006,0.0119,0.9691,-1.7507,1.4739,-0.6008
440,-0.0263,0.0121,0.985,-2.9021,0.3392,0.9394
450,0.0044,-0.0357,0.9831,-0.1957,2.9285,0.3923
460,-0.0318,0.0034,0.9798,-0.0883,0.1122,-0.3443
470,-0.0006,-0.0207,1.0022,-0.1766,-0.8224,-0.5393
480,-0.0104,-0.01,0.9942,-0.1816,-0.2741,0.8991
490,0.0055,-0.0155,0.9876,0.8411,0.0444,-0.51
500,0.0038,-0.0125,0.9743,1.3142,-0.8543,-0.7812
510,0.0,0.01,1.0079,0.4879,0.2946,3.1666
520,-0.0096,-0.0164,0.9882,0.6578,2.4689,0.4725
530,-0.0084,-0.0406,1.012,2.0726,1.3171,1.8486
540,-0.0235,0.0104,0.9826,-1.8379,-2.0386,-2.1232
550,-0.0402,-0.0146,0.9786,0.7129,1.0405,0.3913
560,-0.0328,-0.0316,0.9714,-0.0738,-0.9161,-1.3234
570,-0.0198,0.0122,1.0192,0.53,1.1353,1.9
580,-0.0319,0.0206,0.9851,-0.3183,-0.3615,-2.0355
590,-0.0379,0.0096,0.9903,0.9357,1.4796,-3.5841
600,-0.0143,-0.0052,0.9969,1.2461,-0.5034,1.3474
610,-0.0095,-0.0234,0.9981,-1.9413,1.3205,0.0753
620,-0.0075,0.0207,1.0025,-0.701,0.072,0.6818
630,-0.028,-0.0025,1.0195,2.121,0.0362,-1.4818
640,-0.0214,-0.0263,1.0282,0.4929,1.4689,-0.2309
650,-0.0268,-0.0043,0.9591,0.4533,-1.7405,1.4304
660,0.0009,0.0251,0.9969,1.8791,0.0458,-0.5671
670,0.0036,-0.0093,0.968,-0.0446,1.1476,-2.9682
680,-0.0154,-0.0336,1.0037,1.6428,1.5502,-0.0897
690,-0.006,-0.0027,0.9749,0.3819,0.8944,-0.1139
700,-0.0233,-0.008,1.0114,-2.444,-0.421,0.2005
710,-0.0256,0.0186,0.9728,1.4508,0.9654,-0.7248
720,0.0193,-0.0413,0.9946,0.1186,0.5306,2.3446
730,-0.0124,0.0139,1.0103,0.3848,1.9566,-1.0723
740,0.0062,-0.0007,0.9986,-1.47,-0.9236,0.0376
750,-0.0453,-0.008,0.9855,2.4298,-0.1754,0.6585
760,-0.0003,-0.0158,0.9895,2.1287,-0.4772,-0.7441
770,-0.0115,0.0408,0.954,-0.6346,0.5869,0.5938
780,0.0097,0.0105,1.0102,-1.8382,3.2528,1.9643
790,-0.0067,0.0087,1.0067,-0.6073,0.9877,-0.1526
800,-0.015,-0.0097,0.9853,0.7593,0.0407,-0.5651
810,-0.0135,0.0174,0.9762,0.6649,0.2484,-0.756
820,-0.0305,0.0009,1.0243,-2.5379,-2.8033,0.7435
830,-0.0117,0.0354,1.0077,-0.7169,1.2611,0.1711
840,-0.0168,0.0129,1.0083,-0.2774,-1.8568,-0.0894
850,-0.0258,-0.0325,0.9993,2.4586,0.3706,-0.8188
860,-0.0193,0.014,0.9851,-1.7902,-1.9423,1.1676
870,-0.0107,0.005,0.9882,-0.5183,1.0624,0.9396
880,-0.0251,0.0149,0.9947,-2.3149,-0.7274,-0.3119
890,-0.0562,-0.0276,1.0034,0.6846,1.587,0.0482
900,-0.042,-0.0151,0.9882,-1.1367,-1.9807,-0.9273
910,-0.0099,-0.0201,1.0129,-0.6863,-0.1006,1.3808
920,-0.0429,0.0347,1.0004,0.168,1.1689,1.174
930,0.018,0.0068,1.0024,0.9454,-0.0397,-0.2867
940,0.0031,0.019,0.9988,-0.1051,1.3347,0.3371
950,0.0043,-0.0239,0.9916,-0.8006,-0.4855,-1.5039
960,-0.0066,-0.0209,0.9885,-1.2394,-0.1084,-0.1536
970,-0.0679,-0.0399,0.9791,0.417,-0.5605,-1.7526
980,-0.0099,0.0026,0.9768,0.3643,0.4096,-0.7939
990,-0.0047,0.0041,1.0145,0.5943,-1.745,0.5585
1000,0.0107,-0.0045,1.0139,-0.5784,-1.7263,0.7848
1010,-0.0072,-0.0295,1.0083,-0.4532,-1.6759,-0.9124
1020,-0.0056,0.0312,0.994,1.1729,1.4228,1.7149
1030,-0.0132,0.0313,0.9881,0.3849,0.3937,-1.3477
1040,-0.0303,0.01,0.9888,1.4643,0.8627,0.0792
1050,-0.0189,0.0232,0.9821,0.0766,0.3512,-1.3754
1060,0.0213,0.0027,0.9934,1.818,1.0457,-0.226
1070,0.0188,-0.0304,0.977,-0.7979,-1.62,-0.6549
1080,0.0021,0.0164,0.966,-2.3182,0.3849,-2.0735
1090,0.0165,0.0088,0.9808,-1.3911,0.2011,0.2381
1100,-0.0063,-0.0493,1.02,-1.1241,0.7419,-0.1055
1110,-0.0081,0.0069,1.0119,0.1379,0.0425,-0.4549
1120,-0.0496,-0.0058,1.0083,-0.3592,-0.2562,1.8135
1130,-0.0312,0.0086,0.984,1.2185,1.5931,0.7706
1140,0.0295,0.016,0.9777,-0.7893,-0.0235,-1.5919
1150,0.027,0.0082,0.9932,-1.3412,-0.1655,0.4086
1160,0.0032,0.0089,0.9833,3.0289,1.5288,0.8774
1170,-0.0099,0.0201,0.9709,-0.7421,-0.2002,-0.5856
1180,-0.0009,0.0405,0.9805,-2.0695,0.8658,-1.1011
1190,0.0103,-0.0096,0.9872,-1.0703,-1.7477,0.3073
1200,-0.014,-0.0226,1.022,1.0652,-0.2322,0.4775
1210,0.0002,0.0069,0.9968,0.0677,-0.0937,0.3274
1220,-0.0055,-0.0025,1.0106,1.5346,-0.996,2.0745
1230,0.0094,0.0006,1.0097,0.3273,-1.0266,-1.8438
1240,0.0143,0.0005,1.0129,-2.1366,0.6084,0.1066
1250,-0.0222,0.0101,0.9907,1.6654,0.9357,0.692
1260,-0.0294,-0.0032,0.9942,-0.924,1.8304,-0.5091
1270,0.0174,-0.0113,1.0046,1.4537,-0.7845,2.441
1280,-0.058,0.0021,1.0056,-1.1695,-1.0435,-0.7102
1290,0.0242,0.0268,1.0141,-0.0564,1.4597,0.185
1300,-0.0039,-0.0025,0.9868,-0.7286,0.5972,-2.9204
1310,0.0031,0.0282,1.0133,-0.1477,-0.6437,0.0911
1320,-0.0096,0.0412,1.0179,-1.6024,-1.05,-0.6202
1330,-0.0265,-0.0455,0.997,0.9063,-0.8551,0.1411
1340,0.0226,-0.0322,1.0093,-0.4921,0.5122,1.4724
1350,-0.012,0.0039,1.0212,0.1886,0.4157,1.7526
1360,-0.0317,-0.0192,1.0255,1.784,-0.4546,-0.4695
1370,0.0215,0.0134,1.0049,-0.5572,1.3239,0.0272
