Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-0.0249,-0.0032,1.0196,-1.6277,1.7995,1.2622
10,-0.0059,-0.0286,0.9991,0.1102,0.4131,-0.8708
20,-0.0175,-0.0031,0.9852,-1.1847,1.9786,-2.524
30,-0.0229,0.0181,0.9836,-1.554,-1.0061,-0.744
40,-0.0193,0.0034,1.0049,0.3537,-0.3741,-0.8036
50,0.0041,0.0194,0.9797,0.5436,0.222,-0.5104
60,-0.0233,0.0009,0.9949,-0.7128,-0.7029,1.193
70,0.0076,-0.0005,1.0069,0.0633,-1.6507,0.0867
80,-0.0156,-0.0016,1.0072,-1.8278,0.2463,1.2922
90,-0.0096,-0.002,0.9855,0.3949,-0.2829,1.411
100,0.0141,0.0093,0.9905,-0.4522,1.5589,-1.2057
110,-0.0101,0.0004,0.9815,-0.7778,-0.4938,0.658
120,-0.0212,0.0048,0.9783,0.4508,-0.6541,2.2833
130,0.0062,-0.0157,0.9765,-0.767,0.1126,2.4159
140,-0.0181,-0.0157,0.9872,-0.1954,0.3271,0.8339
150,-0.0035,-0.0069,0.9827,1.5128,1.613,0.7245
160,-0.0033,0.0379,1.0023,0.1134,-0.6244,2.1185
170,-0.0295,0.0247,0.9691,-0.6255,0.8642,-1.4767
180,-0.028,-0.0048,0.9939,-0.5409,-0.7032,-0.9206
190,-0.0271,-0.0098,1.0019,0.4309,1.1118,-0.1983
200,-0.007,0.0004,1.0009,-0.6617,-1.6618,1.4397
210,-0.015,-0.0007,0.9724,0.278,0.137,0.0515
220,-0.0208,0.0024,1.0006,0.2043,2.1928,-0.4843
230,-0.006,0.0205,0.9852,-0.3767,-1.827,-1.7923
240,-0.0169,0.0275,0.9843,-1.5169,-0.4922,1.0046
250,-0.0229,-0.0117,0.9606,1.6282,0.572,-1.1106
260,-0.0041,-0.0203,0.9854,-0.9743,-0.0249,0.6777
270,0.0274,0.0053,0.9911,1.875,-1.8482,0.7117
