Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-0.009,0.0315,1.054,-11.3893,-4.1374,25.4351
10,-0.0168,0.0149,1.0349,-21.4504,-7.5115,31.0687
20,-0.0076,-0.1631,1.0049,-14.3511,-2.6412,28.2443
30,0.0044,-0.2561,1.0554,-15.9237,-4.1679,20.9313
40,0.012,-0.3616,1.0789,-18.4275,-9.2977,7.084
50,0.0305,-0.3865,1.0754,-18.5038,-13.3588,-9.2672
60,0.0125,-0.2498,1.1006,-27.1603,-15.9389,-18.3817
70,0.0232,-0.1199,1.1323,-24.2443,-23.6183,-26.4122
80,0.0195,0.1985,1.104,-39.145,-29.4046,-7.7863
90,-0.0474,0.876,1.1082,-46.4885,-24.1527,36.8244
100,0.0378,2.0906,1.2788,-70.9771,-9.6641,132.1832
110,-0.1912,2.9949,1.6826,-89.771,-31.313,279.0076
120,-0.5312,3.6553,1.7278,-73.8779,-96.8855,443.8168
130,-1.2363,3.9999,1.0735,-70.3206,-136.7023,500.2596
140,-2.3652,3.8101,0.5376,-26.5191,-57.8626,500.2596
150,-3.6375,2.9153,1.3857,2.5191,-60.2748,500.2596
160,-4.0,2.0039,1.6465,-102.5649,-184.0305,500.2596
170,-4.0,0.4771,0.4861,-132.9466,-265.9084,500.2596
180,-3.8469,-0.2847,-0.7034,-125.8015,-205.7405,500.2596
190,-0.1887,-0.3838,0.991,0.0916,1.7863,-17.9847
200,-0.1946,-0.4097,1.0088,2.4427,0.3969,-21.2366
210,-0.1951,-0.4177,0.9954,2.1527,-6.3053,-25.4962
220,-0.1758,-0.3826,0.9417,1.9542,-7.0382,-28.7786
230,-0.1736,-0.2913,0.9121,3.1298,-5.3435,-29.3282
240,-0.1687,-0.2549,0.907,1.6031,-4.855,-25.7557
250,-0.1667,-0.3472,0.8752,2.916,-3.8473,-26.1374
260,-0.1804,-0.4119,0.8657,6.916,1.1298,-30.458
270,-0.1838,-0.481,0.9158,6.6412,2.9313,-36.916
280,-0.2122,-0.4929,0.9595,9.8931,-0.9771,-45.0076
290,-0.2122,-0.3691,0.9443,11.2519,-5.145,-47.542
300,-0.2034,-0.356,0.897,11.6489,-2.5038,-47.0076
310,-0.2,-0.3845,0.8999,13.0687,0.5038,-49.7099
320,-0.1975,-0.3723,0.9312,14.0916,1.8321,-54.0458
330,-0.2078,-0.4512,0.9604,14.9771,1.7099,-60.3664
340,-0.1846,-0.4751,1.0042,12.8702,-0.7786,-66.4275
350,-0.1992,-0.615,1.0403,17.2061,-11.4046,-85.3588
360,-0.1624,-0.6003,1.0017,11.313,-17.2824,-99.2824
370,-0.1909,-0.5969,0.9358,21.2977,-19.3282,-111.9084
380,-0.1821,-0.4819,0.8835,22.9618,-16.1527,-113.0992
390,-0.1924,-0.4346,0.8413,27.6794,-9.5573,-112.0305
400,-0.1699,-0.3745,0.8416,23.7252,-4.7023,-112.0153
410,-0.1509,-0.4583,0.8147,25.5114,-0.5038,-116.2137
420,-0.1384,-0.5178,0.7937,29.6641,7.1145,-123.8473
430,-0.1196,-0.5693,0.8289,27.8015,13.2672,-134.4275
440,-0.1155,-0.717,0.8708,23.8168,13.5267,-153.1145
450,-0.1118,-0.8298,0.8599,21.9847,12.7939,-174.2137
460,-0.1174,-0.9968,0.7878,18.5802,18.458,-205.7863
470,-0.1821,-0.9438,0.7224,35.7863,21.4656,-230.7786
480,-0.1858,-0.8005,0.6216,55.0382,34.5802,-250.9466
490,-0.2266,-0.6802,0.6445,74.7634,52.2901,-268.6412
500,-0.2822,-0.5801,0.7844,79.6794,54.7939,-282.9618
510,-0.2954,-0.5737,0.8149,60.8397,49.0229,-297.6947
520,-0.344,-0.697,0.7124,52.5344,51.7099,-317.0382
530,-0.397,-0.7224,0.616,63.5573,68.5496,-342.7328
540,-0.4973,-0.6951,0.6838,59.8779,83.1908,-362.2443
550,-0.6118,-0.6599,0.7705,58.7939,79.6031,-387.2824
560,-0.7405,-0.437,0.8462,50.2137,85.7099,-399.7557
570,-0.761,-0.1816,0.9812,49.0076,86.7481,-398.6718
580,-0.7734,0.01,1.1096,35.3435,69.9542,-388.3969
590,-0.7175,0.0483,1.0911,22.3511,65.313,-371.771
600,-0.6863,-0.0117,1.127,19.084,60.0,-359.1145
610,-0.6655,-0.0173,1.2026,30.5802,47.6641,-349.0382
620,-0.6206,0.0999,1.2031,33.3435,28.2443,-332.6565
630,-0.5161,0.1199,1.0447,26.5496,17.1145,-313.084
640,-0.4236,0.1067,0.8621,29.6947,26.1985,-296.3664
650,-0.3855,0.2378,0.8865,43.0687,41.8779,-272.5649
660,-0.3345,0.2578,1.0349,42.1527,40.0916,-248.5343
670,-0.281,0.418,1.1108,42.6718,27.771,-222.3817
680,-0.2231,0.4548,1.1187,40.5649,19.3588,-189.542
690,-0.1899,0.3765,1.0874,35.3893,6.5191,-166.7023
700,-0.1292,0.4299,0.967,26.3359,1.3588,-144.5343
710,-0.0649,0.4133,0.8354,19.5725,18.5191,-117.6336
720,-0.0574,0.3147,0.9341,21.1145,37.2214,-98.0458
730,-0.0969,0.2546,1.1406,10.855,23.3435,-85.313
740,-0.0779,0.134,1.1128,-1.9542,13.542,-72.229
750,-0.0466,-0.1135,1.0679,-6.0,15.8931,-71.6336
760,-0.0493,-0.2231,1.1135,-11.6947,5.2977,-84.6718
770,-0.0283,-0.1274,1.0413,-8.6107,-3.9237,-86.2748
780,0.002,0.0591,0.9773,2.3969,5.2977,-77.2672
790,-0.012,0.2178,1.0303,4.8092,6.2595,-59.9237
800,-0.012,0.2556,1.0371,0.4122,1.1756,-43.4198
810,0.0081,0.1492,0.9465,0.1679,7.3282,-28.626
820,0.0032,0.0173,0.9614,3.4809,16.4427,-21.5573
830,-0.0173,-0.1162,1.0437,3.145,12.9008,-24.5954
840,-0.011,-0.0957,1.0732,-1.4504,7.1298,-26.855
850,0.0071,-0.0896,1.0754,-4.916,-0.0763,-28.7481
860,0.0159,-0.0352,1.0203,-4.3969,-1.313,-27.1603
870,0.0112,-0.0176,0.9976,-3.1145,-0.1679,-21.4046
880,0.0068,0.0342,0.981,2.1221,0.3664,-15.8321
890,0.012,0.095,0.9658,3.1298,4.1374,-4.5802
900,-0.0029,0.0913,0.9939,2.6565,8.0305,7.5725
910,-0.0115,-0.0637,1.03,-1.1603,6.8397,13.084
920,-0.0054,-0.1682,1.0017,-4.3511,3.7557,6.5038
930,-0.0012,-0.283,1.0171,-7.7252,2.9313,2.0
940,-0.0029,-0.312,1.0005,-5.1145,-0.8092,-8.4122
950,0.0117,-0.1699,0.9673,-1.6183,1.0229,-10.687
960,0.0078,-0.0923,0.9854,3.0687,4.0458,-7.374
970,-0.0051,0.0056,1.0027,4.8855,1.3588,-0.1832
980,-0.0007,0.0198,0.9541,2.3817,1.7099,9.1603
990,-0.0002,-0.0312,0.9575,3.4809,7.0229,15.6794
1000,-0.01,-0.1353,0.9915,2.3053,8.2901,17.771
1010,-0.0176,-0.2686,1.0149,3.313,3.2672,9.542
1020,-0.0127,-0.2654,0.9844,2.2595,2.3664,0.916
1030,-0.0146,-0.2161,0.991,2.4733,5.8168,-3.3282
1040,-0.0249,-0.1704,1.0383,2.0611,1.7557,-6.4122
1050,-0.0168,-0.115,1.0283,0.3359,-1.6641,-5.2824
1060,-0.0051,-0.0713,0.9788,3.0382,-0.7176,-1.4198
1070,0.0012,-0.0476,0.9746,3.0687,1.084,3.7863
1080,0.0088,-0.1091,0.9609,6.2137,2.5344,4.7328
1090,0.0002,-0.1135,0.9641,5.6641,4.3206,4.3664
1100,-0.0059,-0.1306,0.9851,3.8931,5.6031,3.0534
1110,-0.0166,-0.1506,1.0403,1.9389,2.2137,-0.229
1120,-0.0178,-0.1326,1.0168,-1.2214,-4.7176,-3.2519
1130,0.0029,-0.123,0.946,-3.9237,-3.4198,-2.7023
1140,0.0083,-0.1094,0.9312,-0.1985,2.5954,-1.6947
1150,0.0105,-0.1016,0.9619,0.9771,3.4809,0.229
1160,0.0051,-0.0662,0.9746,1.9695,2.6107,1.8473
1170,0.0088,-0.0454,0.9617,1.8626,3.6031,4.9924
1180,0.0039,-0.0349,0.9609,3.1908,6.1527,8.7939
1190,-0.0037,-0.0876,0.9944,4.5649,7.4656,12.2137
