Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-3.4912,-3.1309,-1.3042,-388.1832,-181.6336,500.2596
10,-1.8909,-4.0,-1.5598,-293.4962,-8.7634,500.2596
20,-1.3723,-4.0,-0.6985,-371.9084,9.8779,500.2596
30,-0.7981,-4.0,-1.0894,-54.0611,-10.458,202.8397
40,-0.4248,-4.0,-0.825,103.3588,113.2519,36.7023
50,-0.6848,-2.3779,0.3479,130.8244,131.2824,-60.0916
60,-0.4832,0.3093,0.9116,36.7939,59.8473,-69.313
70,-0.2097,1.5813,0.9368,-65.8168,68.0458,15.8931
80,-0.1135,0.1387,1.1101,-8.4122,88.1221,54.687
90,-0.1067,-0.4099,1.5518,-26.0611,56.2443,45.9695
100,-0.0532,-0.8904,1.5459,0.458,24.3817,7.542
110,-0.0378,-0.2998,1.5415,-2.1832,14.0153,1.0076
120,-0.1086,-0.0654,1.5181,1.084,0.1069,6.0305
130,-0.1682,0.0076,1.387,-14.1374,-24.8397,20.7023
140,-0.1672,-0.2202,1.0474,-25.4351,-32.8855,30.855
150,-0.1748,-0.5227,0.7021,-19.2519,-21.2214,30.0458
160,-0.1675,-0.8093,0.5579,-14.0763,2.229,15.7405
170,-0.1865,-0.874,0.6235,-11.1145,17.5725,-0.3511
180,-0.2058,-0.7678,0.7214,-1.542,18.0,-19.5725
190,-0.1892,-0.168,0.7705,19.6947,0.4427,-48.8092
200,-0.1667,-0.105,0.8484,17.4504,12.8702,-38.3053
210,-0.1567,-0.0471,1.0354,14.0611,14.8092,-27.0229
220,-0.1479,-0.1445,1.1289,7.3435,2.2443,-21.2214
230,-0.1196,-0.2769,1.0703,8.8092,-3.7252,-20.0
240,-0.1111,-0.4307,1.0181,6.4885,-6.1374,-22.6412
250,-0.1035,-0.6199,0.9456,11.1756,-7.1298,-33.5267
260,-0.0999,-0.7393,0.9341,14.0611,-4.9008,-48.8397
270,-0.1594,-0.8589,0.9011,29.8779,-11.5878,-73.6641
280,-0.1953,-0.6785,0.8589,30.5954,-13.1908,-83.8779
290,-0.178,-0.4038,0.7317,35.0534,-7.8321,-90.5496
300,-0.1321,-0.0076,0.729,34.687,11.4046,-77.6641
310,-0.1509,0.167,0.9326,24.7786,19.084,-53.9695
320,-0.0935,0.1631,1.054,17.0229,14.9313,-36.7634
330,-0.0991,0.0117,1.1152,9.4962,8.1679,-21.2061
340,-0.1013,0.0737,1.1958,9.145,-7.3435,-24.1374
350,-0.0967,-0.5227,0.9631,20.1069,-10.2137,-26.0
360,-0.0491,-0.4211,0.9282,15.9237,-1.3893,-28.7176
370,-0.1135,-0.7454,0.8982,23.3435,-4.7023,-47.0382
380,-0.1108,-0.52,0.906,25.0992,-2.3664,-60.7786
390,-0.2009,-0.228,0.8669,20.7176,-7.8015,-60.3359
400,-0.1252,-0.0486,0.8164,16.4275,7.8321,-49.2672
410,-0.0933,-0.0596,0.9075,17.7405,18.0,-41.9542
420,-0.106,-0.0083,1.083,11.0076,12.8244,-33.8168
430,-0.0957,-0.1792,1.1184,8.5344,2.7176,-31.5878
440,-0.0588,-0.407,1.1016,6.0,-0.1069,-34.3053
450,-0.0908,-0.7915,1.1863,3.8779,-16.4427,-55.2061
460,-0.0464,-0.7915,0.9482,14.7176,-32.0916,-76.7939
470,-0.0322,-0.9304,0.7405,39.2672,-8.9313,-96.3206
480,-0.1152,-1.0054,0.9084,42.916,-6.3817,-125.542
490,-0.1963,-0.6709,0.8352,48.626,-26.0611,-149.6641
500,-0.104,-0.5813,0.5872,48.3511,7.4046,-150.9924
510,-0.1555,-0.5095,0.8464,51.1908,27.7252,-160.458
520,-0.2117,-0.6409,1.0042,53.5267,9.8168,-178.229
530,-0.1948,-0.5129,0.9082,56.626,2.2748,-195.5573
540,-0.1602,-0.4524,0.9573,50.1069,15.6183,-202.9924
550,-0.2429,-0.3545,0.9846,61.4198,-1.4351,-217.5878
560,-0.1785,-0.4495,0.8918,42.7328,12.1679,-218.2901
570,-0.2524,-0.6462,0.9961,57.8015,8.0,-241.084
580,-0.2805,-0.5361,0.9275,53.771,-5.2519,-256.7023
