Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,0.1257,-0.0027,1.0024,11.0229,3.3588,4.4733
10,0.124,-0.0437,0.9617,5.9695,8.5649,0.916
20,0.106,-0.0337,0.9319,-10.5038,18.7481,-2.3359
30,0.0671,-0.0789,0.9336,-21.5114,27.9542,-7.6031
40,0.0413,-0.1108,0.9478,-24.9771,35.7252,-13.7405
50,0.0457,-0.1094,1.054,-8.855,41.9084,-21.2672
60,0.144,0.0818,1.3696,44.7634,45.4198,-23.8779
70,0.2527,0.3145,2.4207,120.5496,28.5649,-10.3053
80,0.1121,0.741,3.8245,181.3588,-139.4962,25.6489
90,-0.0078,1.5088,3.9999,169.1145,-443.2214,117.084
100,-0.4114,1.2427,3.9999,108.2901,-500.2748,214.1069
110,-0.9023,0.302,3.7688,115.5573,-500.2748,245.084
120,-1.7322,-0.1997,3.9999,101.4809,-500.2748,231.7252
130,-2.4128,0.3818,3.9999,-52.1679,-500.2748,232.6412
140,-3.0212,0.0156,2.7126,-208.7939,-500.2748,201.0076
150,-2.7097,-0.6345,0.5381,-236.4733,-500.2748,121.374
160,-1.9209,-0.5198,-0.8926,-234.2443,-500.2748,65.5573
170,-1.9927,-0.6309,-2.5579,-199.5114,-500.2748,16.4733
180,0.1833,-0.6709,-4.0,-47.2061,-498.0611,-42.7328
190,0.8508,0.2512,-2.4229,43.3435,-84.5954,-29.5878
200,0.9146,-0.1448,-0.2932,16.0763,10.5802,-6.4733
210,0.9607,-0.0271,-0.2432,12.0458,7.5725,-6.4275
220,0.9885,0.0095,-0.1851,3.542,3.3282,-0.8092
230,0.9429,-0.0996,-0.3049,-5.1145,-1.2519,0.1069
240,0.9502,-0.1404,-0.3657,-0.3053,14.1832,-4.916
250,0.958,-0.0586,-0.2483,0.1679,14.2443,-7.2061
260,0.9678,0.0063,-0.2764,-5.2366,0.6412,-4.6718
270,1.1013,0.0627,-0.3784,11.0229,14.2137,-1.1908
280,0.9922,0.0225,-0.1663,13.7863,0.5191,1.7099
290,1.0061,0.0037,-0.2656,7.4046,-16.5954,2.7023
300,0.99,-0.0603,-0.4067,8.1069,-4.626,3.084
310,0.9548,-0.0957,-0.3711,8.6718,2.6412,-0.4275
320,0.9714,-0.0901,-0.3262,4.1527,6.9313,-1.0382
330,0.9709,-0.085,-0.2959,0.9771,5.4809,-2.0153
340,0.9927,-0.0398,-0.2942,-2.8092,5.4656,-1.0534
350,1.0012,-0.0574,-0.3147,0.1221,5.1756,-2.5344
360,1.0347,0.0183,-0.2612,5.5725,6.5954,0.5649
370,0.9963,-0.0264,-0.229,5.9542,-6.2137,0.6107
380,1.0315,-0.0037,-0.3018,6.9924,-1.9389,4.1832
390,0.97,-0.0701,-0.2937,6.7634,1.2061,5.1756
400,0.9517,-0.0928,-0.3088,4.0611,5.8931,5.2366
410,0.9148,-0.1594,-0.2754,1.5573,8.9618,2.1069
420,0.9316,-0.1306,-0.261,0.0611,9.2824,-1.5573
430,0.9673,-0.0959,-0.2473,-0.4885,9.4656,-2.5344
440,0.9395,-0.0999,-0.1948,-1.5725,2.1527,-4.0916
450,0.9746,-0.0674,-0.2236,-3.2366,-2.4733,-4.3511
460,0.9773,-0.0505,-0.2659,-0.9924,-0.3664,-2.4122
470,0.9902,0.0049,-0.2554,-1.6947,-3.5115,1.0687
480,0.9768,-0.0381,-0.3225,-2.1069,-2.1527,4.1527
490,0.9495,-0.0762,-0.3394,-0.1679,4.6412,3.5267
500,0.9409,-0.0959,-0.3311,-4.7939,10.0763,3.4809
510,0.9255,-0.1362,-0.3259,-6.7786,13.2672,0.9771
520,0.9243,-0.1003,-0.3738,-12.0611,19.6183,0.8855
530,0.9141,-0.1118,-0.4111,-13.374,29.9695,-0.855
540,0.9092,-0.0862,-0.4045,-16.0153,38.1832,-1.8321
550,0.8945,-0.094,-0.4082,-19.9084,44.0458,-2.2901
560,0.9275,-0.0562,-0.4963,-18.3817,56.5191,-3.6489
570,0.9114,-0.0701,-0.5063,-16.0,70.4885,-6.1985
580,0.8999,-0.0781,-0.5386,-17.2519,87.6947,-8.5649
590,0.8831,-0.0801,-0.6121,-20.916,112.9771,-10.4275
600,0.8557,-0.0835,-0.6343,-19.7099,143.6488,-11.7557
610,0.8215,-0.0935,-0.6289,-25.4046,178.6565,-12.8702
620,0.8188,-0.1453,-0.5625,-25.8931,221.6947,-17.374
630,0.7646,-0.1152,-0.3411,-35.145,239.4809,-20.1374
640,0.7068,-0.2039,-0.2017,-49.3435,243.0382,-24.9618
650,0.728,-0.2246,-0.1975,-50.1985,255.8626,-35.3282
660,0.7781,-0.1143,-0.1614,-61.3893,275.2214,-38.7634
670,0.8726,0.0547,-0.0984,-57.145,288.9008,-37.5725
680,0.9204,0.2129,-0.051,-55.2214,293.5267,-23.3588
690,0.9243,0.2402,-0.0361,-44.6107,287.4962,-10.8092
700,0.906,0.2646,-0.1169,-24.7023,284.9924,0.4885
710,0.7959,0.2031,-0.1777,0.5038,287.4504,9.7252
720,0.6689,0.1035,-0.2644,8.6412,307.4809,10.3359
730,0.5884,0.0176,-0.2085,43.8168,347.1908,9.6794
740,0.4927,-0.0503,0.0994,55.7863,379.6336,10.1679
750,0.3938,-0.0872,0.5029,37.7405,381.542,6.1985
760,0.3118,-0.1646,0.6646,18.7176,365.6947,3.542
770,0.3091,-0.2136,0.637,1.8015,364.3511,-6.3206
780,0.3892,-0.0061,0.6521,0.1069,377.6794,-9.9542
790,0.4014,0.1147,0.7612,4.8244,380.0153,-5.4046
800,0.4014,0.1875,0.915,18.3969,364.2748,0.6107
810,0.4099,0.2905,0.9275,22.2443,339.6489,10.9924
820,0.3689,0.2322,0.8757,19.9389,334.7023,26.9618
830,0.2932,0.0349,0.9941,28.7023,337.6794,29.7863
840,0.1497,-0.1067,1.2812,31.2672,323.1908,24.1221
850,0.0691,-0.2319,1.5708,7.7557,296.3511,16.7939
860,-0.0205,-0.4062,1.7683,-6.6565,247.2672,-3.4809
870,-0.0051,-0.3406,1.7354,-8.9008,189.0229,-24.5496
880,0.1106,-0.1128,1.4612,-15.0992,149.6641,-36.8397
890,0.3086,0.1714,1.1533,-9.4046,149.5573,-29.542
900,0.2749,0.1318,1.1936,-8.5191,152.7939,-19.542
910,0.282,0.2126,1.2891,-8.9618,135.8931,-10.1527
920,0.2395,0.1948,1.314,-14.1985,109.7099,2.4427
930,0.1838,0.092,1.2126,-11.4962,87.2672,8.7023
940,0.1406,0.0291,1.1082,-5.1603,87.5573,11.4351
950,0.0742,-0.0298,1.1924,2.0916,87.6031,9.084
960,0.0239,-0.0559,1.2893,1.2061,71.7099,4.3359
970,0.0417,-0.0156,1.2566,-1.0534,51.4198,1.4656
980,0.072,-0.0164,1.1353,-1.0382,49.1298,2.0153
990,0.1226,0.0183,1.1489,5.2366,50.9771,-0.2595
1000,0.1497,0.1086,1.2229,0.1069,40.7939,6.3206
1010,0.1248,0.1025,1.1982,-6.2595,23.8473,13.6489
1020,0.1021,0.0217,1.1211,-7.145,21.5573,17.5878
1030,0.0854,0.0017,1.106,-6.2443,23.8321,19.5267
1040,0.0481,-0.0715,1.1709,4.687,15.3893,14.3817
1050,0.0393,-0.0586,1.2063,-0.3206,2.4275,11.0382
1060,0.0625,-0.0261,1.1108,-9.4656,-5.8931,8.4275
1070,0.082,-0.0408,0.9602,-15.0229,-1.5725,6.458
1080,0.1021,-0.0386,0.895,-13.7252,16.7634,4.4733
1090,0.0872,-0.0369,0.9939,-5.1756,19.9847,1.4809
1100,0.0874,0.0464,1.02,-6.9618,10.1832,5.0687
1110,0.1047,-0.0002,0.9917,2.7023,8.5344,6.5802
1120,0.1262,0.0493,1.04,11.4046,8.5344,9.8473
1130,0.1133,0.0212,1.1184,11.9237,-3.8321,12.3969
1140,0.0972,0.0012,1.0967,2.3206,-15.0229,14.0763
1150,0.0813,-0.0518,0.9631,-9.2214,-16.4733,11.5725
1160,0.0972,-0.0811,0.7981,-14.8397,3.0992,8.6412
1170,0.0627,-0.1433,0.8333,-9.6947,24.4733,1.9695
1180,0.0413,-0.1016,0.9629,-9.1603,24.916,-4.2748
1190,0.0752,-0.0422,0.9602,-12.0458,18.5954,-6.3511
